Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,LOR
1,337.0,118.0,4,4.5,4.5,9.65,1,0.92,
2,324.0,107.0,4,4.0,4.5,8.87,1,0.76,
3,316.0,104.0,3,3.0,3.5,8.0,1,0.72,
4,322.0,110.0,3,3.5,2.5,8.67,1,0.8,
5,314.0,103.0,2,2.0,3.0,8.21,0,0.65,
6,330.0,115.0,5,4.5,3.0,9.34,1,0.9,
7,321.0,109.0,3,3.0,4.0,8.2,1,0.75,
8,308.0,101.0,2,3.0,4.0,7.9,0,0.68,
9,309.2429888474539,105.75853990957766,1,2.0,1.5,8.254649701953845,0,0.5,
10,323.0,108.0,3,3.5,3.0,8.6,0,0.45,
11,325.0,106.0,3,3.5,4.0,8.4,1,0.52,
12,327.0,111.0,4,4.0,4.5,9.0,1,0.84,
13,328.0,112.0,4,4.0,4.5,9.1,1,0.78,
14,293.3372657463244,105.79017231489979,3,4.0,3.0,7.764899927061163,1,0.62,
15,311.0,104.0,3,3.5,2.0,8.2,1,0.61,
16,314.0,105.0,3,3.5,2.5,8.3,0,0.54,
17,317.0,107.0,3,4.0,3.0,8.7,0,0.66,
18,319.0,106.0,3,4.0,3.0,8.0,1,0.65,
19,318.0,110.0,3,4.0,3.0,8.8,0,0.63,
20,303.0,102.0,3,3.5,3.0,8.5,0,0.62,
21,312.0,107.0,3,3.0,2.0,7.9,1,0.64,
22,325.0,114.0,4,3.0,2.0,8.4,0,0.7,
23,328.0,116.0,5,5.0,5.0,9.5,1,0.94,
24,320.74539687424885,124.74168927553168,5,5.0,4.5,9.219881432422957,1,0.95,
25,336.0,119.0,5,4.0,3.5,9.8,1,0.97,
26,340.0,120.0,5,4.5,4.5,9.6,1,0.94,
27,322.0,109.0,5,4.5,3.5,8.8,0,0.76,
28,308.55907791167334,100.95853764401832,2,1.5,2.5,7.339702552499891,1,0.44,
29,295.0,93.0,1,2.0,2.0,7.2,0,0.46,
30,310.0,99.0,2,1.5,2.0,7.3,0,0.54,
31,300.0,97.0,2,3.0,3.0,8.1,1,0.65,
32,327.0,103.0,3,4.0,4.0,8.3,1,0.74,
33,325.6911855147122,123.55775504985114,4,3.0,4.5,9.724853137632955,1,0.91,
34,340.0,114.0,5,4.0,4.0,9.6,1,0.9,
35,331.0,112.0,5,4.0,5.0,9.8,1,0.94,
36,332.7581954960218,115.10834432510882,5,5.0,5.0,8.831050406348059,1,0.88,
37,299.0,106.0,2,4.0,4.0,8.4,0,0.64,
38,289.4015216179963,99.76474195690857,1,1.0,2.0,7.53495107986182,0,0.58,
39,304.0,105.0,1,3.0,1.5,7.5,0,0.52,
40,307.0,,2,,3.5,7.7,0,0.48,
41,308.0,110.0,3,3.5,3.0,8.0,1,0.46,
42,316.0,,2,,2.5,8.2,1,0.49,
43,313.0,107.0,2,2.5,2.0,8.5,1,0.53,
44,332.0,117.0,4,4.5,4.0,9.1,0,0.87,
45,326.0,113.0,5,4.5,4.0,9.4,1,0.91,
46,322.0,110.0,5,5.0,4.0,9.1,1,0.88,
47,319.1197783995969,119.27327121857014,5,4.0,5.0,8.954809878829618,1,0.86,
48,339.0,119.0,5,4.5,4.0,9.7,0,0.89,
49,321.0,110.0,3,3.5,5.0,8.85,1,0.82,
50,327.0,111.0,4,3.0,4.0,8.4,1,0.78,
51,313.0,98.0,3,2.5,4.5,8.3,1,0.76,
52,312.0,100.0,2,1.5,3.5,7.9,1,0.56,
53,334.0,116.0,4,4.0,3.0,8.0,1,0.78,
54,324.0,112.0,4,4.0,2.5,8.1,1,0.72,
55,322.0,110.0,3,3.0,3.5,8.0,0,0.7,
56,320.0,103.0,3,3.0,3.0,7.7,0,0.64,
57,316.0,102.0,3,2.0,3.0,7.4,0,0.64,
58,298.0,99.0,2,4.0,2.0,7.6,0,0.46,
59,300.0,99.0,1,3.0,2.0,6.8,1,0.36,
60,311.0,104.0,2,2.0,2.0,8.3,0,0.42,
61,309.0,100.0,2,3.0,3.0,8.1,0,0.48,
62,307.0,101.0,3,4.0,3.0,8.2,0,0.47,
63,304.0,105.0,2,3.0,3.0,8.2,1,0.54,
64,315.0,107.0,2,4.0,3.0,8.5,1,0.56,
65,339.3239280021141,108.03696577595296,3,3.0,3.5,8.525014910462955,0,0.52,
66,325.0,112.0,4,3.5,3.5,8.92,0,0.55,
67,327.0,114.0,3,3.0,3.0,9.02,0,0.61,
68,316.0,107.0,2,3.5,3.5,8.64,1,0.57,
69,318.0,109.0,3,3.5,4.0,9.22,1,0.68,
70,328.0,115.0,4,4.5,4.0,9.16,1,0.78,
71,332.0,118.0,5,5.0,5.0,9.64,1,0.94,
72,336.0,112.0,5,5.0,5.0,9.76,1,0.96,
73,321.0,111.0,5,5.0,5.0,9.45,1,0.93,
74,314.0,108.0,4,4.5,4.0,9.04,1,0.84,
75,314.0,106.0,3,3.0,5.0,8.9,0,0.74,
76,329.0,114.0,2,2.0,4.0,8.56,1,0.72,
77,327.0,112.0,3,3.0,3.0,8.72,1,0.74,
78,290.57684648921696,95.12267623175774,2,3.0,2.0,8.418090105559015,0,0.64,
79,296.0,95.0,2,3.0,2.0,7.54,1,0.44,
80,308.0874708196813,,1,,2.0,7.703126362215667,0,0.46,
81,312.0,105.0,3,2.0,3.0,8.02,1,0.5,
82,340.0,120.0,4,5.0,5.0,9.5,1,0.96,
83,320.0,110.0,5,5.0,4.5,9.22,1,0.92,
84,322.0,115.0,5,4.0,4.5,9.36,1,0.92,
85,340.0,115.0,5,4.5,4.5,9.45,1,0.94,
86,319.0,103.0,4,4.5,3.5,8.66,0,0.76,
87,315.0,106.0,3,4.5,3.5,8.42,0,0.72,
88,317.0,107.0,2,3.5,3.0,8.28,0,0.66,
89,314.0,108.0,3,4.5,3.5,8.14,0,0.64,
90,316.0,109.0,4,4.5,3.5,8.76,1,0.74,
91,318.0,106.0,2,4.0,4.0,7.92,1,0.64,
92,299.0,97.0,3,5.0,3.5,7.66,0,0.38,
93,298.0,98.0,2,4.0,3.0,8.03,0,0.34,
94,294.2324885084151,94.83202858550257,2,3.0,3.0,8.134801642506323,1,0.44,
95,288.02169829413504,103.76310034510017,3,2.0,2.5,7.415704963964793,0,0.36,
